in	out	weight	time
49.0	15.0		
49.0	16.0		
49.0	103.0		
49.0	31.0		
37.0	15.0		
37.0	40.0		
37.0	54.0		
37.0	23.0		
37.0	25.0		
100.0	97.0		
100.0	35.0		
100.0	74.0		
100.0	31.0		
100.0	49.0		
100.0	12.0		
57.0	14.0		
57.0	74.0		
57.0	101.0		
57.0	29.0		
41.0	2.0		
41.0	9.0		
41.0	68.0		
41.0	31.0		
41.0	69.0		
99.0	84.0		
99.0	73.0		
99.0	55.0		
116.0	48.0		
116.0	74.0		
116.0	4.0		
116.0	52.0		
79.0	36.0		
79.0	97.0		
79.0	47.0		
79.0	69.0		
79.0	11.0		
4.0	46.0		
4.0	74.0		
4.0	32.0		
4.0	6.0		
51.0	14.0		
5.0	9.0		
5.0	66.0		
5.0	45.0		
5.0	85.0		
5.0	4.0		
5.0	69.0		
5.0	91.0		
5.0	6.0		
106.0	36.0		
106.0	97.0		
106.0	74.0		
38.0	78.0		
38.0	101.0		
38.0	10.0		
38.0	77.0		
38.0	5.0		
38.0	69.0		
38.0	58.0		
69.0	9.0		
69.0	40.0		
69.0	101.0		
69.0	111.0		
69.0	98.0		
69.0	12.0		
23.0	40.0		
23.0	63.0		
23.0	111.0		
23.0	51.0		
23.0	102.0		
75.0	80.0		
75.0	89.0		
75.0	40.0		
75.0	19.0		
75.0	63.0		
75.0	12.0		
73.0	71.0		
73.0	40.0		
73.0	54.0		
73.0	72.0		
73.0	51.0		
73.0	69.0		
73.0	12.0		
98.0	97.0		
98.0	94.0		
98.0	111.0		
98.0	25.0		
98.0	91.0		
11.0	9.0		
11.0	15.0		
11.0	40.0		
11.0	12.0		
33.0	34.0		
33.0	15.0		
33.0	35.0		
33.0	28.0		
33.0	23.0		
12.0	28.0		
12.0	100.0		
12.0	75.0		
12.0	11.0		
87.0	84.0		
87.0	74.0		
87.0	101.0		
87.0	69.0		
87.0	11.0		
87.0	61.0		
55.0	46.0		
55.0	84.0		
55.0	32.0		
55.0	92.0		
55.0	99.0		
55.0	4.0		
55.0	87.0		
24.0	81.0		
24.0	39.0		
24.0	35.0		
24.0	32.0		
24.0	75.0		
24.0	90.0		
58.0	110.0		
58.0	99.0		
58.0	91.0		
58.0	42.0		
58.0	88.0		
70.0	9.0		
70.0	68.0		
70.0	10.0		
70.0	41.0		
25.0	20.0		
25.0	111.0		
25.0	41.0		
25.0	23.0		
117.0	20.0		
117.0	21.0		
117.0	95.0		
117.0	25.0		
102.0	40.0		
102.0	94.0		
102.0	10.0		
102.0	7.0		
91.0	83.0		
91.0	94.0		
91.0	3.0		
118.0	119.0		
118.0	120.0		
118.0	121.0		
118.0	122.0		
123.0	124.0		
123.0	125.0		
123.0	120.0		
123.0	126.0		
119.0	127.0		
119.0	125.0		
119.0	128.0		
119.0	129.0		
119.0	126.0		
124.0	123.0		
124.0	125.0		
124.0	126.0		
127.0	119.0		
127.0	125.0		
127.0	130.0		
127.0	131.0		
127.0	121.0		
127.0	129.0		
127.0	132.0		
127.0	133.0		
125.0	119.0		
125.0	127.0		
125.0	134.0		
125.0	121.0		
125.0	132.0		
135.0	136.0		
135.0	137.0		
135.0	121.0		
136.0	127.0		
136.0	120.0		
136.0	121.0		
136.0	138.0		
136.0	139.0		
136.0	126.0		
130.0	140.0		
130.0	141.0		
130.0	138.0		
120.0	118.0		
120.0	127.0		
120.0	136.0		
120.0	121.0		
120.0	132.0		
137.0	118.0		
137.0	127.0		
137.0	142.0		
137.0	143.0		
137.0	122.0		
137.0	126.0		
140.0	130.0		
140.0	144.0		
140.0	121.0		
140.0	138.0		
145.0	127.0		
145.0	141.0		
145.0	128.0		
145.0	132.0		
145.0	143.0		
145.0	146.0		
145.0	147.0		
148.0	127.0		
148.0	145.0		
148.0	149.0		
148.0	150.0		
148.0	121.0		
148.0	151.0		
142.0	127.0		
142.0	125.0		
142.0	137.0		
142.0	121.0		
142.0	132.0		
142.0	133.0		
149.0	127.0		
149.0	128.0		
149.0	152.0		
153.0	148.0		
153.0	152.0		
153.0	133.0		
153.0	154.0		
153.0	147.0		
131.0	118.0		
131.0	127.0		
131.0	121.0		
131.0	133.0		
150.0	127.0		
150.0	148.0		
150.0	152.0		
150.0	151.0		
150.0	155.0		
150.0	156.0		
157.0	127.0		
157.0	136.0		
157.0	149.0		
157.0	128.0		
157.0	158.0		
157.0	133.0		
159.0	127.0		
159.0	131.0		
159.0	121.0		
134.0	127.0		
134.0	144.0		
134.0	128.0		
134.0	132.0		
134.0	143.0		
144.0	127.0		
144.0	130.0		
144.0	140.0		
144.0	134.0		
144.0	132.0		
144.0	143.0		
144.0	156.0		
121.0	127.0		
121.0	136.0		
121.0	120.0		
121.0	129.0		
121.0	126.0		
160.0	123.0		
160.0	119.0		
160.0	124.0		
160.0	136.0		
160.0	121.0		
160.0	126.0		
141.0	127.0		
141.0	130.0		
141.0	144.0		
141.0	138.0		
141.0	129.0		
141.0	133.0		
138.0	130.0		
138.0	140.0		
138.0	144.0		
138.0	121.0		
138.0	141.0		
138.0	128.0		
138.0	129.0		
128.0	127.0		
128.0	121.0		
128.0	141.0		
128.0	129.0		
128.0	132.0		
128.0	133.0		
128.0	146.0		
161.0	127.0		
161.0	125.0		
161.0	120.0		
161.0	121.0		
161.0	126.0		
161.0	162.0		
129.0	127.0		
129.0	131.0		
129.0	121.0		
129.0	141.0		
129.0	128.0		
129.0	132.0		
129.0	155.0		
152.0	149.0		
152.0	128.0		
152.0	154.0		
158.0	119.0		
158.0	127.0		
158.0	149.0		
158.0	157.0		
158.0	121.0		
158.0	138.0		
158.0	129.0		
151.0	127.0		
151.0	130.0		
151.0	131.0		
151.0	121.0		
151.0	139.0		
151.0	147.0		
139.0	134.0		
139.0	152.0		
139.0	151.0		
139.0	162.0		
132.0	127.0		
132.0	121.0		
132.0	163.0		
133.0	153.0		
133.0	152.0		
133.0	154.0		
155.0	127.0		
155.0	150.0		
155.0	151.0		
155.0	162.0		
155.0	147.0		
164.0	131.0		
164.0	128.0		
164.0	152.0		
163.0	149.0		
163.0	121.0		
163.0	128.0		
163.0	132.0		
163.0	146.0		
165.0	159.0		
165.0	128.0		
165.0	162.0		
143.0	161.0		
143.0	151.0		
156.0	127.0		
156.0	128.0		
156.0	132.0		
156.0	133.0		
146.0	145.0		
146.0	128.0		
162.0	127.0		
162.0	121.0		
162.0	126.0		
166.0	167.0		
166.0	168.0		
166.0	169.0		
166.0	170.0		
166.0	171.0		
166.0	172.0		
166.0	173.0		
174.0	175.0		
174.0	167.0		
174.0	171.0		
174.0	176.0		
174.0	177.0		
178.0	167.0		
178.0	179.0		
178.0	180.0		
178.0	181.0		
182.0	183.0		
182.0	184.0		
182.0	185.0		
182.0	186.0		
182.0	187.0		
182.0	188.0		
182.0	189.0		
175.0	174.0		
175.0	190.0		
175.0	171.0		
175.0	183.0		
175.0	176.0		
175.0	191.0		
192.0	167.0		
192.0	170.0		
192.0	193.0		
192.0	183.0		
192.0	194.0		
192.0	195.0		
192.0	191.0		
192.0	189.0		
196.0	168.0		
196.0	171.0		
196.0	197.0		
196.0	194.0		
196.0	198.0		
196.0	199.0		
196.0	177.0		
167.0	178.0		
167.0	168.0		
167.0	171.0		
167.0	194.0		
168.0	167.0		
168.0	179.0		
168.0	185.0		
168.0	197.0		
168.0	194.0		
168.0	198.0		
168.0	200.0		
169.0	166.0		
169.0	170.0		
169.0	172.0		
169.0	197.0		
169.0	173.0		
201.0	192.0		
201.0	194.0		
201.0	200.0		
201.0	187.0		
190.0	167.0		
190.0	197.0		
190.0	194.0		
190.0	176.0		
170.0	166.0		
170.0	169.0		
170.0	193.0		
170.0	202.0		
170.0	185.0		
170.0	187.0		
170.0	188.0		
170.0	189.0		
193.0	185.0		
193.0	186.0		
193.0	188.0		
193.0	195.0		
193.0	191.0		
171.0	166.0		
171.0	167.0		
171.0	194.0		
171.0	199.0		
202.0	193.0		
202.0	183.0		
202.0	184.0		
202.0	185.0		
202.0	198.0		
202.0	195.0		
202.0	191.0		
202.0	189.0		
203.0	168.0		
203.0	179.0		
203.0	197.0		
203.0	194.0		
203.0	198.0		
183.0	192.0		
183.0	184.0		
183.0	186.0		
183.0	204.0		
183.0	195.0		
183.0	191.0		
179.0	168.0		
179.0	197.0		
179.0	194.0		
179.0	200.0		
179.0	188.0		
184.0	193.0		
184.0	183.0		
184.0	186.0		
184.0	188.0		
184.0	195.0		
185.0	182.0		
185.0	193.0		
185.0	186.0		
185.0	187.0		
185.0	195.0		
185.0	191.0		
172.0	166.0		
172.0	169.0		
172.0	171.0		
172.0	198.0		
172.0	200.0		
197.0	168.0		
197.0	171.0		
197.0	194.0		
197.0	177.0		
197.0	187.0		
197.0	195.0		
194.0	168.0		
194.0	171.0		
194.0	198.0		
194.0	200.0		
194.0	187.0		
176.0	190.0		
176.0	177.0		
186.0	193.0		
186.0	184.0		
186.0	176.0		
186.0	198.0		
186.0	187.0		
186.0	195.0		
198.0	192.0		
198.0	196.0		
198.0	168.0		
198.0	202.0		
198.0	194.0		
198.0	176.0		
198.0	186.0		
180.0	181.0		
205.0	197.0		
205.0	194.0		
205.0	198.0		
200.0	168.0		
200.0	201.0		
200.0	199.0		
200.0	187.0		
204.0	167.0		
204.0	170.0		
204.0	183.0		
204.0	184.0		
204.0	185.0		
173.0	166.0		
173.0	169.0		
173.0	170.0		
173.0	197.0		
173.0	188.0		
206.0	192.0		
206.0	177.0		
199.0	171.0		
199.0	194.0		
199.0	187.0		
207.0	208.0		
207.0	209.0		
207.0	210.0		
207.0	211.0		
207.0	212.0		
207.0	213.0		
214.0	209.0		
214.0	215.0		
214.0	210.0		
214.0	216.0		
214.0	213.0		
217.0	209.0		
217.0	218.0		
217.0	219.0		
217.0	220.0		
217.0	221.0		
217.0	222.0		
223.0	208.0		
223.0	210.0		
223.0	220.0		
223.0	221.0		
223.0	211.0		
223.0	224.0		
223.0	213.0		
208.0	209.0		
208.0	225.0		
208.0	210.0		
208.0	216.0		
209.0	217.0		
209.0	208.0		
209.0	226.0		
209.0	221.0		
209.0	211.0		
209.0	213.0		
226.0	217.0		
226.0	208.0		
226.0	209.0		
226.0	219.0		
226.0	220.0		
226.0	221.0		
226.0	224.0		
227.0	208.0		
227.0	228.0		
227.0	210.0		
227.0	224.0		
227.0	216.0		
227.0	229.0		
230.0	231.0		
230.0	216.0		
230.0	232.0		
230.0	213.0		
233.0	210.0		
233.0	220.0		
233.0	216.0		
233.0	234.0		
233.0	229.0		
233.0	213.0		
233.0	235.0		
215.0	226.0		
215.0	236.0		
215.0	231.0		
215.0	213.0		
215.0	237.0		
236.0	215.0		
236.0	231.0		
236.0	232.0		
236.0	237.0		
218.0	217.0		
218.0	209.0		
218.0	215.0		
218.0	221.0		
218.0	213.0		
218.0	222.0		
228.0	217.0		
228.0	208.0		
228.0	209.0		
228.0	219.0		
228.0	210.0		
228.0	220.0		
228.0	211.0		
228.0	216.0		
225.0	217.0		
225.0	208.0		
225.0	209.0		
225.0	228.0		
225.0	210.0		
225.0	220.0		
225.0	216.0		
238.0	215.0		
238.0	231.0		
238.0	232.0		
238.0	237.0		
239.0	232.0		
239.0	237.0		
231.0	208.0		
231.0	233.0		
231.0	215.0		
231.0	238.0		
231.0	232.0		
231.0	235.0		
231.0	237.0		
219.0	226.0		
219.0	228.0		
219.0	210.0		
219.0	220.0		
219.0	221.0		
219.0	224.0		
210.0	208.0		
210.0	209.0		
210.0	227.0		
210.0	220.0		
210.0	221.0		
210.0	211.0		
220.0	217.0		
220.0	208.0		
220.0	209.0		
220.0	226.0		
220.0	210.0		
220.0	221.0		
220.0	216.0		
221.0	208.0		
221.0	228.0		
221.0	225.0		
221.0	219.0		
221.0	220.0		
211.0	217.0		
211.0	223.0		
211.0	208.0		
211.0	209.0		
211.0	210.0		
211.0	240.0		
211.0	216.0		
211.0	234.0		
211.0	232.0		
224.0	223.0		
224.0	226.0		
224.0	219.0		
224.0	220.0		
224.0	221.0		
240.0	219.0		
240.0	234.0		
240.0	213.0		
240.0	235.0		
216.0	223.0		
216.0	208.0		
216.0	233.0		
216.0	225.0		
216.0	210.0		
234.0	219.0		
234.0	240.0		
234.0	213.0		
229.0	208.0		
229.0	209.0		
229.0	227.0		
229.0	231.0		
229.0	220.0		
229.0	241.0		
232.0	236.0		
232.0	231.0		
232.0	220.0		
232.0	237.0		
213.0	209.0		
213.0	240.0		
213.0	234.0		
213.0	229.0		
235.0	226.0		
235.0	219.0		
235.0	240.0		
235.0	216.0		
235.0	213.0		
235.0	241.0		
